run1,run2,label,r,p,n
1,2,R1(D1AM) vs R2(D1PM),0.468,0.0,82
1,3,R1(D1AM) vs R3(D2AM),0.402,0.0002,82
1,4,R1(D1AM) vs R4(D2PM),0.239,0.0307,82
1,5,R1(D1AM) vs R5(D3AM),0.351,0.0012,82
1,6,R1(D1AM) vs R6(D3PM),0.22,0.0474,82
2,3,R2(D1PM) vs R3(D2AM),0.549,0.0,82
2,4,R2(D1PM) vs R4(D2PM),0.504,0.0,82
2,5,R2(D1PM) vs R5(D3AM),0.479,0.0,82
2,6,R2(D1PM) vs R6(D3PM),0.464,0.0,82
3,4,R3(D2AM) vs R4(D2PM),0.652,0.0,82
3,5,R3(D2AM) vs R5(D3AM),0.612,0.0,82
3,6,R3(D2AM) vs R6(D3PM),0.621,0.0,82
4,5,R4(D2PM) vs R5(D3AM),0.622,0.0,82
4,6,R4(D2PM) vs R6(D3PM),0.658,0.0,82
5,6,R5(D3AM) vs R6(D3PM),0.679,0.0,82
