trait_a,trait_b,r_mean,ci_lo,ci_hi,p,n_fish
pct_top,latency,-0.6228,-0.7398,-0.4692,0.0,82
pct_top,transitions,0.0919,-0.1276,0.3029,0.4114,82
pct_top,x_sd,0.1454,-0.074,0.3513,0.1926,82
pct_top,velocity,0.1735,-0.0452,0.3763,0.1191,82
latency,transitions,-0.261,-0.4524,-0.0466,0.0179,82
latency,x_sd,-0.149,-0.3546,0.0703,0.1815,82
latency,velocity,-0.148,-0.3537,0.0713,0.1845,82
transitions,x_sd,0.5022,0.32,0.6485,0.0,82
transitions,velocity,0.5939,0.4327,0.7183,0.0,82
x_sd,velocity,0.2042,-0.0134,0.4033,0.0658,82
